,Adj Close,Volume
A,0.84375,0.0
AAPL,0.8984375,0.0
ABC,0.8984375,0.0
ABT,0.8828125,0.0
ADBE,0.8515625,0.0
ADI,0.8515625,0.0
ADM,0.8359375,0.0
ADP,0.875,0.0
ADSK,0.828125,0.0
AEE,0.859375,0.0
AEP,0.8515625,0.0
AES,0.6015625,0.0
AFL,0.84375,0.0
AIG,0.875,0.0
AIV,0.828125,0.0
AKAM,0.0,0.0
ALL,0.859375,0.0
AMAT,0.8515625,0.0
AMD,0.8125,0.0
AMGN,0.8515625,0.0
AMT,0.875,0.0
AMZN,0.875,0.0
AN,0.828125,0.0
ANF,0.3828125,0.0
AON,0.8828125,0.0
APA,0.703125,0.0
APD,0.8515625,0.0
APH,0.890625,0.0
ATGE,0.0,0.0
ATI,0.71875,0.0
AVB,0.84375,0.0
AVY,0.8515625,0.0
AXP,0.828125,0.0
AZO,0.890625,0.0
BA,0.78125,0.0
BAC,0.7421875,0.0
BAX,0.8515625,0.0
BBBY,0.7578125,0.0
BBY,0.765625,0.0
BDX,0.875,0.0
BEN,0.7265625,0.0
BIG,0.6875,0.0
BIIB,0.8125,0.0
BK,0.7109375,0.0
BKNG,0.8671875,0.0
BMY,0.8359375,0.0
BSX,0.828125,0.0
BXP,0.78125,0.0
C,0.84375,0.0
CAG,0.8203125,0.0
CAH,0.796875,0.0
CAT,0.84375,0.0
CB,0.875,0.0
CCL,0.6953125,0.0
CHRW,0.8203125,0.0
CI,0.875,0.0
CINF,0.859375,0.0
CL,0.859375,0.0
CLF,0.6796875,0.0
CLX,0.875,0.0
CMA,0.71875,0.0
CMCSA,0.875,0.0
CMI,0.8671875,0.0
CMS,0.8828125,0.0
CNP,0.8203125,0.0
CNX,0.6171875,0.0
COF,0.7265625,0.0
COP,0.7890625,0.0
COST,0.8828125,0.0
CPB,0.8203125,0.0
CSCO,0.796875,0.0
CSX,0.8671875,0.0
CTAS,0.8984375,0.0
CTSH,0.828125,0.0
CVS,0.8515625,0.0
CVX,0.8125,0.0
D,0.8515625,0.0
DD,0.7578125,0.0
DE,0.875,0.0
DGX,0.8125,0.0
DHI,0.8359375,0.0
DHR,0.8828125,0.0
DIS,0.84375,0.0
DOV,0.859375,0.0
DRI,0.859375,0.0
DTE,0.875,0.0
DUK,0.859375,0.0
DVA,0.8359375,0.0
DVN,0.6328125,0.0
DXC,0.765625,0.0
EA,0.8359375,0.0
EBAY,0.8203125,0.0
ECL,0.875,0.0
ED,0.8671875,0.0
EFX,0.84375,0.0
EIX,0.8125,0.0
EL,0.8671875,0.0
EMN,0.828125,0.0
EMR,0.8125,0.0
EOG,0.7734375,0.0
EP,0.0,0.0
EQR,0.8359375,0.0
EQT,0.7578125,0.0
ES,0.8671875,0.0
ETN,0.890625,0.0
ETR,0.7734375,0.0
EXC,0.8046875,0.0
EXPD,0.84375,0.0
F,0.328125,0.0
FAST,0.8671875,0.0
FCX,0.65625,0.0
FDX,0.796875,0.0
FE,0.6796875,0.0
FHN,0.7734375,0.0
FISV,0.875,0.0
FITB,0.71875,0.0
FLS,0.7734375,0.0
FMC,0.8515625,0.0
GD,0.8671875,0.0
GE,0.6484375,0.0
GHC,0.78125,0.0
GILD,0.8671875,0.0
GIS,0.890625,0.0
GLW,0.625,0.0
GPC,0.875,0.0
GPS,0.4375,0.0
GS,0.78125,0.0
GT,0.171875,0.0
GWW,0.859375,0.0
HAL,0.6484375,0.0
HAS,0.828125,0.0
HBAN,0.7265625,0.0
HD,0.890625,0.0
HES,0.75,0.0
HIG,0.75,0.0
HOG,0.0,0.0
HON,0.875,0.0
HPQ,0.7890625,0.0
HRB,0.71875,0.0
HRL,0.8828125,0.0
HST,0.640625,0.0
HSY,0.921875,0.0
HUM,0.8828125,0.0
IBM,0.75,0.0
IFF,0.8203125,0.0
IGT,0.453125,0.0
INTC,0.7421875,0.0
INTU,0.875,0.0
IP,0.7578125,0.0
IPG,0.8046875,0.0
IRM,0.8359375,0.0
ITT,0.84375,0.0
ITW,0.8828125,0.0
IVZ,0.65625,0.0
JCI,0.703125,0.0
JEF,0.6875,0.0
JNJ,0.890625,0.0
JNPR,0.0,0.0
JPM,0.8671875,0.0
JWN,0.734375,0.0
K,0.859375,0.0
KEY,0.6953125,0.0
KIM,0.65625,0.0
KLAC,0.875,0.328125
KMB,0.8671875,0.0
KO,0.8671875,0.0
KR,0.84375,0.0
KSS,0.0,0.0
L,0.7890625,0.0
LEG,0.7890625,0.0
LEN,0.796875,0.0
LH,0.828125,0.0
LLY,0.921875,0.0
LMT,0.8828125,0.0
LNC,0.6171875,0.0
LOW,0.8828125,0.0
LSI,0.859375,0.0
LUV,0.7734375,0.0
M,0.7109375,0.0
MAR,0.8359375,0.0
MAS,0.8359375,0.0
MAT,0.7421875,0.0
MCD,0.90625,0.0
MCHP,0.828125,0.0
MCK,0.9140625,0.0
MCO,0.875,0.0
MDT,0.8359375,0.0
MKC,0.8828125,0.0
MMC,0.8828125,0.0
MMM,0.84375,0.0
MO,0.875,0.0
MRK,0.875,0.0
MRO,0.703125,0.0
MS,0.7734375,0.0
MSFT,0.921875,0.0
MSI,0.8671875,0.0
MTB,0.7734375,0.0
MU,0.7578125,0.0
MUR,0.6484375,0.0
NBR,0.7265625,0.0
NEE,0.8671875,0.0
NEM,0.5546875,0.0
NI,0.8828125,0.0
NKE,0.859375,0.0
NOC,0.890625,0.0
NOV,0.7578125,0.0
NSC,0.859375,0.0
NTAP,0.640625,0.0
NTRS,0.78125,0.0
NUE,0.8046875,0.0
NVDA,0.8671875,0.0
NWL,0.75,0.0
NYT,0.7578125,0.0
ODP,0.8203125,0.0
OI,0.6015625,0.0
OMC,0.8359375,0.0
ORCL,0.8671875,0.0
ORLY,0.921875,0.0
OXY,0.71875,0.0
PAYX,0.8671875,0.0
PBI,0.7421875,0.0
PCAR,0.859375,0.0
PCG,0.796875,0.0
PDCO,0.5234375,0.0
PEG,0.8515625,0.0
PEP,0.8984375,0.0
PFE,0.8125,0.0
PG,0.875,0.0
PGR,0.90625,0.0
PH,0.8515625,0.0
PHM,0.8046875,0.0
PKI,0.8515625,0.0
PLD,0.8359375,0.0
PNC,0.828125,0.0
PNW,0.8359375,0.0
PPG,0.8671875,0.0
PPL,0.7734375,0.0
PSA,0.8671875,0.0
PWR,0.875,0.0
PXD,0.796875,0.0
QCOM,0.7890625,0.0
R,0.7578125,0.0
RF,0.75,0.0
RHI,0.8203125,0.0
RL,0.75,0.0
ROK,0.8515625,0.0
ROP,0.8828125,0.0
ROST,0.859375,0.0
RRC,0.78125,0.0
RSG,0.8984375,0.0
SBUX,0.8828125,0.0
SCHW,0.8125,0.0
SEE,0.7890625,0.0
SHW,0.8828125,0.0
SJM,0.875,0.0
SLB,0.7109375,0.0
SLM,0.7421875,0.0
SNA,0.890625,0.0
SO,0.8515625,0.0
SPG,0.8125,0.0
SPGI,0.8828125,0.0
SRCL,0.8046875,0.0
SRE,0.8515625,0.0
STT,0.6640625,0.0
STZ,0.8828125,0.0
SWK,0.8359375,0.0
SWN,0.7890625,0.0
SYK,0.8828125,0.0
SYY,0.828125,0.0
T,0.8125,0.0
TAP,0.7890625,0.0
TER,0.7421875,0.0
TGNA,0.765625,0.0
TGT,0.828125,0.0
THC,0.6796875,0.0
TJX,0.890625,0.0
TMO,0.8984375,0.0
TROW,0.84375,0.0
TRV,0.8828125,0.0
TSN,0.859375,0.0
TXN,0.8828125,0.0
TXT,0.7421875,0.0
UNH,0.9140625,0.0
UNM,0.7734375,0.0
UNP,0.875,0.0
UPS,0.8359375,0.0
USB,0.796875,0.0
VFC,0.8359375,0.0
VIAV,0.0,0.0
VLO,0.78125,0.0
VMC,0.84375,0.0
VNO,0.7578125,0.0
VRSN,0.8046875,0.0
VTR,0.75,0.0
VZ,0.84375,0.0
WAT,0.859375,0.0
WBA,0.765625,0.0
WDC,0.7421875,0.0
WEC,0.890625,0.0
WELL,0.8046875,0.0
WFC,0.765625,0.0
WHR,0.7890625,0.0
WM,0.8984375,0.0
WMB,0.765625,0.0
WMT,0.859375,0.0
WY,0.7578125,0.0
X,0.0,0.0
XEL,0.875,0.0
XOM,0.8046875,0.0
XRAY,0.75,0.0
XRX,0.0,0.0
YUM,0.8828125,0.0
ZION,0.7109375,0.0
