,Adj Close
A,0.8125
AAPL,0.9375
ABC,0.875
ABT,0.890625
ADBE,0.890625
ADI,0.828125
ADM,0.8203125
ADP,0.8984375
ADSK,0.8671875
AEE,0.84375
AEP,0.8359375
AES,0.625
AFL,0.78125
AIG,0.8359375
AIV,0.8359375
AKAM,0.75
ALL,0.8046875
AMAT,0.828125
AMD,0.7890625
AMGN,0.859375
AMT,0.8671875
AMZN,0.9296875
AN,0.8125
ANF,0.015625
AON,0.8828125
APA,0.5859375
APD,0.859375
APH,0.8984375
ATGE,0.0
ATI,0.6328125
AVB,0.8671875
AVY,0.8359375
AXP,0.8203125
AZO,0.90625
BA,0.8125
BAC,0.7109375
BAX,0.84375
BBBY,0.796875
BBY,0.7265625
BDX,0.8984375
BEN,0.703125
BIG,0.6328125
BIIB,0.8359375
BK,0.6875
BKNG,0.8828125
BMY,0.84375
BSX,0.828125
BXP,0.8203125
C,0.8359375
CAG,0.796875
CAH,0.7109375
CAT,0.8203125
CB,0.8515625
CCL,0.578125
CHRW,0.859375
CI,0.8515625
CINF,0.859375
CL,0.8515625
CLF,0.7578125
CLX,0.8671875
CMA,0.6796875
CMCSA,0.8671875
CMI,0.8828125
CMS,0.8515625
CNP,0.7890625
CNX,0.6796875
COF,0.6171875
COP,0.78125
COST,0.8984375
CPB,0.8203125
CSCO,0.7578125
CSX,0.8984375
CTAS,0.875
CTSH,0.890625
CVS,0.859375
CVX,0.828125
D,0.84375
DD,0.6953125
DE,0.875
DGX,0.0
DHI,0.8046875
DHR,0.8984375
DIS,0.859375
DOV,0.8515625
DRI,0.8359375
DTE,0.8828125
DUK,0.828125
DVA,0.0
DVN,0.59375
DXC,0.671875
EA,0.828125
EBAY,0.8203125
ECL,0.875
ED,0.8515625
EFX,0.875
EIX,0.796875
EL,0.8984375
EMN,0.828125
EMR,0.796875
EOG,0.7890625
EP,0.5546875
EQR,0.8515625
EQT,0.75
ES,0.890625
ETN,0.875
ETR,0.765625
EXC,0.7734375
EXPD,0.8125
F,0.5703125
FAST,0.8828125
FCX,0.71875
FDX,0.7578125
FE,0.609375
FHN,0.7265625
FISV,0.890625
FITB,0.7109375
FLS,0.78125
FMC,0.875
GD,0.84375
GE,0.5546875
GHC,0.7578125
GILD,0.9140625
GIS,0.8984375
GLW,0.703125
GPC,0.8671875
GPS,0.1015625
GS,0.765625
GT,0.1015625
GWW,0.8828125
HAL,0.6328125
HAS,0.859375
HBAN,0.671875
HD,0.890625
HES,0.7265625
HIG,0.609375
HOG,0.0
HON,0.859375
HPQ,0.765625
HRB,0.703125
HRL,0.90625
HST,0.6015625
HSY,0.9140625
HUM,0.8828125
IBM,0.71875
IFF,0.8359375
IGT,0.0
INTC,0.7109375
INTU,0.8984375
IP,0.703125
IPG,0.7890625
IRM,0.828125
ITT,0.8515625
ITW,0.890625
IVZ,0.578125
JCI,0.765625
JEF,0.65625
JNJ,0.8828125
JNPR,0.0
JPM,0.84375
JWN,0.7421875
K,0.84375
KEY,0.6953125
KIM,0.6015625
KLAC,0.8515625
KMB,0.859375
KO,0.859375
KR,0.8515625
KSS,0.0
L,0.0
LEG,0.7734375
LEN,0.75
LH,0.0
LLY,0.8828125
LMT,0.8828125
LNC,0.203125
LOW,0.8671875
LSI,0.890625
LUV,0.8203125
M,0.6171875
MAR,0.84375
MAS,0.7734375
MAT,0.6015625
MCD,0.9140625
MCHP,0.8515625
MCK,0.8671875
MCO,0.890625
MDT,0.828125
MKC,0.921875
MMC,0.859375
MMM,0.84375
MO,0.8984375
MRK,0.84375
MRO,0.671875
MS,0.7265625
MSFT,0.890625
MSI,0.8125
MTB,0.7265625
MU,0.78125
MUR,0.5234375
NBR,0.7421875
NEE,0.9140625
NEM,0.5546875
NI,0.890625
NKE,0.8828125
NOC,0.8984375
NOV,0.75
NSC,0.8671875
NTAP,0.59375
NTRS,0.7578125
NUE,0.84375
NVDA,0.90625
NWL,0.671875
NYT,0.765625
ODP,0.65625
OI,0.0
OMC,0.796875
ORCL,0.84375
ORLY,0.921875
OXY,0.7421875
PAYX,0.859375
PBI,0.7421875
PCAR,0.8671875
PCG,0.6953125
PDCO,0.0
PEG,0.828125
PEP,0.890625
PFE,0.8046875
PG,0.875
PGR,0.890625
PH,0.828125
PHM,0.75
PKI,0.828125
PLD,0.8359375
PNC,0.8125
PNW,0.8203125
PPG,0.875
PPL,0.7265625
PSA,0.90625
PWR,0.8046875
PXD,0.78125
QCOM,0.8046875
R,0.734375
RF,0.7265625
RHI,0.765625
RL,0.765625
ROK,0.8671875
ROP,0.90625
ROST,0.9140625
RRC,0.8125
RSG,0.8984375
SBUX,0.9140625
SCHW,0.7890625
SEE,0.6953125
SHW,0.9296875
SJM,0.8671875
SLB,0.703125
SLM,0.7109375
SNA,0.8671875
SO,0.8671875
SPG,0.8359375
SPGI,0.890625
SRCL,0.0
SRE,0.8671875
STT,0.609375
STZ,0.8984375
SWK,0.8125
SWN,0.8515625
SYK,0.859375
SYY,0.8203125
T,0.8203125
TAP,0.7421875
TER,0.765625
TGNA,0.7421875
TGT,0.8046875
THC,0.640625
TJX,0.9140625
TMO,0.8984375
TROW,0.8515625
TRV,0.84375
TSN,0.8359375
TXN,0.859375
TXT,0.6171875
UNH,0.90625
UNM,0.6484375
UNP,0.90625
UPS,0.828125
USB,0.75
VFC,0.875
VIAV,0.0
VLO,0.828125
VMC,0.8046875
VNO,0.765625
VRSN,0.8125
VTR,0.0
VZ,0.828125
WAT,0.828125
WBA,0.7109375
WDC,0.765625
WEC,0.9140625
WELL,0.84375
WFC,0.7421875
WHR,0.7578125
WM,0.890625
WMB,0.78125
WMT,0.828125
WY,0.7265625
X,0.5703125
XEL,0.8828125
XOM,0.7890625
XRAY,0.0
XRX,0.0
YUM,0.890625
ZION,0.6640625
